job_title,company_name,location,time_posted,hiring_manager_first_name,hiring_manager_last_name,hiring_manager_profile,job_url,job_description
Senior Python Developer (W2 Only / No C2C),TEKsystems,"Charlotte, NC",8 hours ago,,,,https://www.linkedin.com/jobs/view/4157703137/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=p6WCz%2BvzQAecddePl7Gwzw%3D%3D&trackingId=5RG5Sqn8M%2FVg%2F84ZLv3wAA%3D%3D&trk=flagship3_search_srp_jobs,"About the job

Description 

***Locations: Charlotte, Chicago, Atlanta, Phoenix, Plano***

 Overview Of The Role 

We are looking for technically minded problem solvers with a desire to work across functional areas to drive the development of next generation tests as well as provide effective challenge to existing business processes and controls. Your main responsibilities will involve:


 Pro-actively work with stakeholders across the company to collect requirements, understand business processes including the existing control landscape and determine how to appropriately design tests followed by test implementations to meet the requirements.
 Understanding and executing activities that form the end-to-end test development life cycle.
 Think outside the box of current industry standards to develop innovative approaches to testing of operational and compliance risk.
 Deliver high quality code and pro-actively identify opportunities to improve documentation, codebases and SDLC processes as well as participate in appropriate review and challenge steps in the development process.
 Pro-actively work with stakeholders across the firm to identify opportunities to improve existing tests/processes and effectively communicate proposed solutions.
 Produce clear and coherent technical documentation for internal and regulatory purposes.
 Take ownership to deliver results and meet critical deadlines.



 Required Education 


 Graduate degree in highly technical discipline
 Common areas of study include but are not limited to: Mathematics, Physics, Economics, Computer Science, Data Science, Operations Research



 Required Skills 


 2+ years of relevant work experience or equivalent educational training
 High level of intellectual curiosity and willingness to develop and work on new ways of testing
 Strong analytical and problem-solving skills
 Strong programming skills including SQL and Python
 Strong technical writing and clear verbal communication skills
 Effectively presents findings, data, and conclusions to influence leaders
 Ability to work in a large, complex organization, and influence various stakeholders and partners
 Strong team player able to seamlessly transition between contributing individually and collaborating on team projects
 Feels ownership and accountability for delivering high quality work, able to prioritize effectively, adapt, and able to work under pressure and deliver to tight deadlines
 Well organized, and has attention to detail



 Desired Skills 


 Experience building automation tooling that is optimized for working with large datasets
 Experience working with structured and unstructured data in various storage solutions
 Strong stakeholder engagement skills with an ability to work with colleagues in other functions
 Self-motivated and intellectually curious about both the role, supporting technologies and the wider bank
 Understanding of financial markets and products



 Pay And Benefits 

The pay range for this position is $70.00 - $95.00/hr.

 Requirements 

Eligibility requirements apply to some benefits and may depend on your job classification and length of employment. Benefits are subject to change and may be subject to specific elections, plan, or program terms. If eligible, the benefits available for this temporary role may include the following:


 Medical, dental & vision
 Critical Illness, Accident, and Hospital
 401(k) Retirement Plan – Pre-tax and Roth post-tax contributions available
 Life Insurance (Voluntary Life & AD&D for the employee and dependents)
 Short and long-term disability
 Health Spending Account (HSA)
 Transportation benefits
 Employee Assistance Program
 Time Off/Leave (PTO, Vacation or Sick Leave)



 Workplace Type 

This is a hybrid position in Charlotte,NC.

 Application Deadline 

This position is anticipated to close on Feb 28, 2025.

 About TEKsystems 

We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company.

The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law."
Python Developer,Jobs via Dice,"Dearborn, MI",10 hours ago,,,,https://www.linkedin.com/jobs/view/4156891424/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=p6WCz%2BvzQAecddePl7Gwzw%3D%3D&trackingId=ACluO7bjFTmLblCWStcKIg%3D%3D&trk=flagship3_search_srp_jobs,"About the job

Dice is the leading career destination for tech experts at every stage of their careers. Our client, Voto Consulting LLC, is seeking the following. Apply via Dice today!

Greetings,

Title: Python Developer

Location: Dearborn, MI (Hybrid)

Long Term Contract

Client is looking only local candidates based on Dearborn, MI or near by.

Job Description:


Must have hands on programming experience in Python with 5+ years of experience with a minimum of 2 years on web development using FASTAPI or (Flask, Django) frameworks
Experience operating in a CI/CD/DevOps fast paced environment
Experience in development test cases using pytest.


Regards,

Voto Consulting"
Senior Python Developer (W2 Only / No C2C),TEKsystems,"Chicago, IL",8 hours ago,,,,https://www.linkedin.com/jobs/view/4157704030/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=p6WCz%2BvzQAecddePl7Gwzw%3D%3D&trackingId=1iqq2M8TUwPwAzj%2F%2BIj83A%3D%3D&trk=flagship3_search_srp_jobs,"About the job

Description 

***Locations: Charlotte, Chicago, Atlanta, Phoenix, Plano***

 Overview Of The Role 

We are looking for technically minded problem solvers with a desire to work across functional areas to drive the development of next generation tests as well as provide effective challenge to existing business processes and controls. Your main responsibilities will involve:


 Pro-actively work with stakeholders across the company to collect requirements, understand business processes including the existing control landscape and determine how to appropriately design tests followed by test implementations to meet the requirements.
 Understanding and executing activities that form the end-to-end test development life cycle.
 Think outside the box of current industry standards to develop innovative approaches to testing of operational and compliance risk.
 Deliver high quality code and pro-actively identify opportunities to improve documentation, codebases and SDLC processes as well as participate in appropriate review and challenge steps in the development process.
 Pro-actively work with stakeholders across the firm to identify opportunities to improve existing tests/processes and effectively communicate proposed solutions.
 Produce clear and coherent technical documentation for internal and regulatory purposes.
 Take ownership to deliver results and meet critical deadlines.



 Required Education 


 Graduate degree in highly technical discipline
 Common areas of study include but are not limited to: Mathematics, Physics, Economics, Computer Science, Data Science, Operations Research



 Required Skills 


 2+ years of relevant work experience or equivalent educational training
 High level of intellectual curiosity and willingness to develop and work on new ways of testing
 Strong analytical and problem-solving skills
 Strong programming skills including SQL and Python
 Strong technical writing and clear verbal communication skills
 Effectively presents findings, data, and conclusions to influence leaders
 Ability to work in a large, complex organization, and influence various stakeholders and partners
 Strong team player able to seamlessly transition between contributing individually and collaborating on team projects
 Feels ownership and accountability for delivering high quality work, able to prioritize effectively, adapt, and able to work under pressure and deliver to tight deadlines
 Well organized, and has attention to detail



 Desired Skills 


 Experience building automation tooling that is optimized for working with large datasets
 Experience working with structured and unstructured data in various storage solutions
 Strong stakeholder engagement skills with an ability to work with colleagues in other functions
 Self-motivated and intellectually curious about both the role, supporting technologies and the wider bank
 Understanding of financial markets and products



 Pay And Benefits 

The pay range for this position is $70.00 - $95.00/hr.

 Requirements 

Eligibility requirements apply to some benefits and may depend on your job classification and length of employment. Benefits are subject to change and may be subject to specific elections, plan, or program terms. If eligible, the benefits available for this temporary role may include the following:


 Medical, dental & vision
 Critical Illness, Accident, and Hospital
 401(k) Retirement Plan – Pre-tax and Roth post-tax contributions available
 Life Insurance (Voluntary Life & AD&D for the employee and dependents)
 Short and long-term disability
 Health Spending Account (HSA)
 Transportation benefits
 Employee Assistance Program
 Time Off/Leave (PTO, Vacation or Sick Leave)



 Workplace Type 

This is a hybrid position in Chicago,IL.

 Application Deadline 

This position is anticipated to close on Feb 28, 2025.

 About TEKsystems 

We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company.

The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law."
Python Developer,hackajob,"Philadelphia, PA",22 hours ago,,,,https://www.linkedin.com/jobs/view/4153177904/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=p6WCz%2BvzQAecddePl7Gwzw%3D%3D&trackingId=lTlo4VKApjfrfd9njAj8OQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job

hackajob has partnered with some of the top global brands in the US.




The ideal candidate would have a minimum of 4-6+ yrs. of experience with Python in a commercial environment.




The role: Python Developer

Location: Hybrid

Employment type: Full time permanent




Offer: Up to $160K depending on experience + benefits package




Qualifications:




Proven experience in mentoring and guiding developers.
Solid understanding of AWS services, including API Gateway, Lambda, CloudWatch, SNS, SQS, Elasticsearch, and DynamoDB.
Expertise in Python programming.
Extensive experience in developing high-volume, RESTful APIs using API Gateway, Lambda, and Python.
Strong knowledge of AWS automated deployment technologies within a CI/CD framework.
Familiarity with automated testing practices for cloud-based RESTful APIs in AWS environments.




If you're interested in finding out more about this fantastic opportunity please get your application in and we can arrange a call.




hackajob is a recruitment platform that will match you with relevant roles based on your preferences and in order to be matched with the roles you need to create an account with us.




*This role requires you to be based in the US*"
Node.js Developer (W2 Only),TEKsystems,"Chicago, IL",2 hours ago,,,,https://www.linkedin.com/jobs/view/4157772780/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=p6WCz%2BvzQAecddePl7Gwzw%3D%3D&trackingId=rh5mhGMdygQY4C4VTLWywg%3D%3D&trk=flagship3_search_srp_jobs,"About the job

Description 

 Node.JS Developer. W2 only. Contract to hire. Remote 

 

 Top Skills' Details 

 5+ Years of experience 

 Top Must Haves 


 Nodejs
Typescript/Javascript
React
 NextJS
 GraphQL or Rest API experience
 Go or Golang experience
 SQL



 Skills 

Javascript, node.js, mysql, graphql, api, react.js, aws, sql queries

 Pay And Benefits 

The pay range for this position is $60.00 - $75.00/hr.

 Requirements 

Eligibility requirements apply to some benefits and may depend on your job classification and length of employment. Benefits are subject to change and may be subject to specific elections, plan, or program terms. If eligible, the benefits available for this temporary role may include the following:


 Medical, dental & vision
 Critical Illness, Accident, and Hospital
 401(k) Retirement Plan – Pre-tax and Roth post-tax contributions available
 Life Insurance (Voluntary Life & AD&D for the employee and dependents)
 Short and long-term disability
 Health Spending Account (HSA)
 Transportation benefits
 Employee Assistance Program
 Time Off/Leave (PTO, Vacation or Sick Leave)



 Workplace Type 

This is a fully remote position.

 Application Deadline 

This position is anticipated to close on Feb 28, 2025.

 About TEKsystems 

We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company.

The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law."
Python Developer,hackajob,"Boston, MA",22 hours ago,,,,https://www.linkedin.com/jobs/view/4145965578/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=p6WCz%2BvzQAecddePl7Gwzw%3D%3D&trackingId=rMRuScPZGY03tfFkpY9qmg%3D%3D&trk=flagship3_search_srp_jobs,"About the job

hackajob has partnered with some of the top global brands in the US.




The ideal candidate would have a minimum of 3+ yrs. of experience with Python in a commercial environment.




The role: Python Developer

Location: Hybrid

Employment type: Full time permanent




Offer: Up to $200K depending on experience + benefits package




Qualifications:




A BA/BS in a computer science-related field or equivalent experience is required.
At least 3 years of professional experience in developing cloud-native applications.
Strong proficiency in Java, C++, C#, or a similar programming language is required.
Proficiency in Python, JavaScript, ReactJS, and NodeJS is required.
Strong knowledge of data structures, algorithms, database concepts, and observability practices is essential.
Familiarity with event-driven architecture and Kafka is preferred.
Experience with ElasticSearch/OpenSearch is preferred.




If you're interested in finding out more about this fantastic opportunity please get your application in and we can arrange a call.




hackajob is a recruitment platform that will match you with relevant roles based on your preferences and in order to be matched with the roles you need to create an account with us.




*This role requires you to be based in the US*"
Python Developer,hackajob,San Francisco Bay Area,22 hours ago,,,,https://www.linkedin.com/jobs/view/4153174722/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=p6WCz%2BvzQAecddePl7Gwzw%3D%3D&trackingId=XiE6vLTJ5eAyjXIam11k8w%3D%3D&trk=flagship3_search_srp_jobs,"About the job

hackajob has partnered with some of the top global brands in the US.




The ideal candidate would have a minimum of 4-6+ yrs. of experience with Python in a commercial environment.




The role: Python Developer

Location: Hybrid

Employment type: Full time permanent




Offer: Up to $200K depending on experience + benefits package




Qualifications:




Over 4-6+ years of professional experience in machine learning engineering.
Educational background in Computer Science, Applied Mathematics, or Life Sciences with a specialization in AI/ML techniques, or a relevant undergraduate degree in Computer Science combined with equivalent work experience.
Proficiency in software engineering with advanced skills in Python.
Experience with deep learning frameworks such as PyTorch, TensorFlow, or similar.
Proven track record of delivering products that utilize machine learning technologies.
Bachelor's degree required.




If you're interested in finding out more about this fantastic opportunity please get your application in and we can arrange a call.




hackajob is a recruitment platform that will match you with relevant roles based on your preferences and in order to be matched with the roles you need to create an account with us.




*This role requires you to be based in the US*"
